,CAMIS,new_grade,INSPECTION DATE,VIOLATION CODE,SCORE,GRADE,CD,HealthArea,SanitDistr,AssessTot,YearAlter1,YearAlter2,YearBuilt,NumFloors,yelp_rating,yelp_categories,yelp_review_count,stats.checkinsCount,stats.tipCount,stats.usersCount,311_complaint_count,goog_lat,goog_lng,is_coffee,is_pizza,is_sandwiches,is_chinese,is_hotdogs,is_italian,is_breakfast_brnch,is_newamerican,is_bakeries,is_brgers,is_tradamerican,is_bars,is_mexican,is_donts,is_cafes,is_salad,is_japanese,is_desserts,is_seafood,is_icecream,failed,yrs_since_reno,bldg_age
12184,41297441,A,08/10/2016,04A,14.0,B,CD_103,HealthArea_6200,SanitDistr_3,-0.143328305488,1988.0,0.0,1920.0,-0.130935966512,0.636970690907,"[u'desserts', u'icecream']",3.65145162723,-0.096526831795,0.299269782842,-0.0445604008817,0.0,40.7294468,-73.9863997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-0.213410327916,-0.0537723578644
12186,41297236,A,07/28/2015,04L,10.0,A,CD_307,HealthArea_7700,SanitDistr_7,-0.153633242351,0.0,0.0,1925.0,-0.4750965683,0.0,0,0.0,-0.141438001395,-0.262724088824,-0.172478884008,0.182038201951,40.6389032,-74.0171246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293406331758,-0.0732939646852
12188,41297057,A,05/23/2013,10F,9.0,A,CD_301,HealthArea_100,SanitDistr_1,-0.154040938449,2007.0,0.0,1931.0,-0.561136718747,-0.0236237799941,[u'lounges'],-0.151684503306,-0.0939015097486,0.00646625306654,-0.0584524734912,0.0,40.7333365,-73.9580029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286620935229,-0.0967198928701
12190,41296144,A,12/04/2014,04M,10.0,A,CD_408,HealthArea_2720,SanitDistr_8,-0.153455759507,0.0,0.0,1955.0,-0.561136718747,-0.0236237799941,[u'tradamerican'],-0.435661586777,-0.141925089448,-0.262724088824,-0.172966325152,0.0,40.7077622,-73.8170687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.0862550625821,-0.19042360561
12194,41295296,A,01/14/2016,04J,13.0,A,CD_407,HealthArea_1200,SanitDistr_7,-0.153734201795,0.0,0.0,1984.0,-0.389056417853,0.0,0,0.0,-0.142114971231,-0.267446726401,-0.173314497398,0.0,40.763042,-73.828243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197997568481,-0.30364892517
12197,41294731,A,03/23/2015,10F,7.0,A,CD_409,HealthArea_2710,SanitDistr_9,-0.153421034603,2007.0,0.0,1930.0,-0.561136718747,-0.0236237799941,[u'pizza'],-0.460824113161,-0.142205784258,-0.262724088824,-0.173453766296,0.0,40.6944985,-73.8273172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286620935229,-0.0928155715059
12199,41294017,A,02/23/2017,08A,11.0,A,CD_108,HealthArea_3700,SanitDistr_8,-0.152331058441,1996.0,0.0,1920.0,-0.216976116959,-0.0236237799941,"[u'tradamerican', u'bars', u'bbq']",-0.205604202699,9.09839945264,7.16598481984,6.4955070652,0.0,40.775701,-73.952961,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.244235846785,-0.0537723578644
12200,41293936,A,11/02/2015,04N,7.0,A,CD_103,HealthArea_6200,SanitDistr_3,-0.153631736176,2009.0,0.0,1900.0,-0.216976116959,-0.0236237799941,"[u'ramen', u'newamerican']",12.3217392897,0.194619732013,3.43037849641,0.769675213268,-0.280376653486,40.729233,-73.98451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294327314946,0.0243140694186
12202,41293756,A,04/03/2015,06C,13.0,A,CD_403,HealthArea_620,SanitDistr_3,-0.154134181247,0.0,0.0,1933.0,-0.561136718747,0.636970690907,"[u'indpak', u'pakistani']",-0.424877646899,-0.142164505609,-0.267446726401,-0.173244862949,0.0,40.7650511,-73.8888522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00148488569293,-0.104528535598
12204,41293514,A,03/13/2014,10B,9.0,A,CD_412,HealthArea_3510,0,-0.154298803016,0.0,0.0,0.0,-0.647176869194,0.0,0,0.0,-0.140942657613,-0.258001451247,-0.171852173965,0.0,40.7066739,-73.7760616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44673111097,7.4425246613
